record_id,sensor_id,location,soil_moisture_percent,temperature_celsius,humidity_percent,timestamp,status,battery_voltage,irrigation_action
26,SENSOR_19,Farm D,48.18,26.0,58.5,2025-07-02 12:18:45,Critical Low,3.31,None
27,SENSOR_9,Farm B,15.98,25.1,81.7,2025-07-07 03:34:45,Wet,3.34,Irrigate
28,SENSOR_1,Farm B,33.28,22.6,80.7,2025-06-30 22:25:45,Dry,3.37,Reduce Irrigation
29,SENSOR_6,Farm D,37.58,19.0,49.1,2025-07-03 09:03:45,Critical Low,3.96,Irrigate
30,SENSOR_14,Farm A,7.55,32.7,79.7,2025-07-06 00:47:45,Critical High,3.65,Reduce Irrigation
31,SENSOR_11,Farm B,38.41,31.8,32.2,2025-07-06 12:04:45,Wet,3.37,Reduce Irrigation
32,SENSOR_9,Farm A,14.38,35.0,65.8,2025-07-04 04:05:45,Critical Low,3.73,Reduce Irrigation
33,SENSOR_5,Farm D,8.58,34.9,43.8,2025-07-03 19:28:45,Dry,3.86,None
34,SENSOR_7,Farm B,57.19,27.4,37.2,2025-07-02 19:13:45,Critical High,3.33,Reduce Irrigation
35,SENSOR_11,Farm D,58.11,31.1,34.6,2025-07-05 12:43:45,Dry,3.5,Irrigate
36,SENSOR_4,Farm C,49.46,34.1,71.8,2025-07-05 05:51:45,Wet,3.15,Irrigate
37,SENSOR_3,Farm D,21.75,32.4,50.4,2025-07-06 00:35:45,Critical Low,3.22,Reduce Irrigation
38,SENSOR_13,Farm D,10.37,22.2,73.5,2025-07-01 09:23:45,Dry,3.82,Reduce Irrigation
39,SENSOR_4,Farm D,42.63,25.7,33.9,2025-07-03 08:46:45,Wet,3.22,Reduce Irrigation
40,SENSOR_12,Farm B,29.21,20.2,48.9,2025-07-01 11:43:45,Critical High,3.63,None
41,SENSOR_12,Farm D,11.71,34.2,62.4,2025-07-01 19:39:45,Critical Low,3.85,Reduce Irrigation
42,SENSOR_20,Farm D,32.23,28.3,77.4,2025-07-04 10:15:45,Critical Low,3.13,None
43,SENSOR_9,Farm C,6.89,21.9,49.1,2025-07-05 15:45:45,Wet,3.68,Reduce Irrigation
44,SENSOR_2,Farm B,55.01,29.4,67.6,2025-07-04 14:30:45,Critical Low,3.31,Irrigate
45,SENSOR_15,Farm C,19.23,28.5,83.2,2025-07-02 01:06:45,Critical High,4.16,None
46,SENSOR_18,Farm D,41.44,24.1,67.0,2025-07-04 04:05:45,Critical High,3.58,Reduce Irrigation
47,SENSOR_4,Farm B,22.14,19.9,44.0,2025-07-03 16:11:45,Critical Low,3.97,Reduce Irrigation
48,SENSOR_13,Farm C,33.6,29.4,31.5,2025-07-06 05:14:45,Dry,3.66,Reduce Irrigation
49,SENSOR_3,Farm D,35.07,26.8,82.2,2025-07-02 04:47:45,Dry,3.05,Reduce Irrigation
50,SENSOR_18,Farm A,15.17,31.1,31.3,2025-07-06 16:07:45,Critical High,3.76,Irrigate
51,SENSOR_10,Farm C,58.33,26.8,82.5,2025-07-05 22:14:45,Dry,4.14,None
52,SENSOR_20,Farm B,47.63,32.5,61.7,2025-07-04 23:04:45,Wet,3.72,Reduce Irrigation
53,SENSOR_12,Farm C,56.67,27.4,86.3,2025-07-03 00:09:45,Normal,3.98,None
54,SENSOR_19,Farm C,54.22,27.5,77.9,2025-07-01 04:29:45,Critical Low,4.06,None
55,SENSOR_7,Farm C,37.88,32.9,89.9,2025-07-03 08:48:45,Wet,3.27,Reduce Irrigation
56,SENSOR_3,Farm A,55.7,24.9,51.0,2025-07-06 12:01:45,Critical High,3.25,Reduce Irrigation
57,SENSOR_2,Farm B,9.87,20.3,76.0,2025-07-03 00:56:45,Normal,3.73,None
58,SENSOR_8,Farm B,15.78,18.5,54.1,2025-07-07 08:52:45,Critical High,3.49,None
59,SENSOR_10,Farm B,7.49,30.8,58.8,2025-07-04 12:28:45,Normal,4.01,None
60,SENSOR_3,Farm D,22.89,28.5,67.7,2025-07-01 10:09:45,Wet,4.08,Irrigate
61,SENSOR_8,Farm B,26.38,30.0,82.4,2025-07-06 02:56:45,Normal,3.42,Irrigate
62,SENSOR_4,Farm B,19.92,21.6,89.0,2025-07-02 08:29:45,Dry,3.28,Irrigate
63,SENSOR_13,Farm A,50.58,20.3,76.1,2025-07-03 08:02:45,Wet,3.94,None
64,SENSOR_9,Farm D,24.62,18.2,55.1,2025-07-04 13:05:45,Critical Low,3.33,Irrigate
65,SENSOR_15,Farm D,20.45,24.0,55.3,2025-06-30 21:03:45,Critical High,3.99,Reduce Irrigation
66,SENSOR_12,Farm C,34.85,28.0,74.3,2025-07-03 04:38:45,Dry,3.51,None
67,SENSOR_6,Farm D,12.75,24.7,44.3,2025-07-03 07:14:45,Critical Low,3.8,Irrigate
68,SENSOR_12,Farm D,49.12,25.4,36.6,2025-07-06 07:05:45,Normal,3.11,Reduce Irrigation
69,SENSOR_12,Farm A,9.1,33.4,51.3,2025-07-04 20:50:45,Dry,3.75,Reduce Irrigation
70,SENSOR_7,Farm B,59.28,23.9,47.2,2025-07-02 03:56:45,Critical Low,3.54,Irrigate
71,SENSOR_9,Farm D,47.47,26.7,47.8,2025-07-07 05:50:45,Wet,3.7,Reduce Irrigation
72,SENSOR_3,Farm D,15.93,31.3,44.0,2025-07-01 03:22:45,Normal,3.2,Reduce Irrigation
73,SENSOR_20,Farm A,5.3,24.7,32.5,2025-07-03 19:06:45,Critical Low,3.88,None
74,SENSOR_6,Farm D,49.85,28.6,31.1,2025-06-30 14:05:45,Normal,4.04,Reduce Irrigation
75,SENSOR_18,Farm D,43.88,32.7,89.3,2025-07-05 00:14:45,Critical Low,3.26,None
76,SENSOR_8,Farm A,45.1,34.1,55.7,2025-07-06 19:25:45,Critical High,3.11,Reduce Irrigation
77,SENSOR_6,Farm C,47.42,20.5,53.1,2025-07-02 05:54:45,Wet,3.03,None
78,SENSOR_15,Farm C,9.07,33.8,70.8,2025-07-04 02:09:45,Dry,3.77,Reduce Irrigation
79,SENSOR_13,Farm D,24.72,26.4,43.1,2025-07-02 21:11:45,Critical Low,3.73,Irrigate
80,SENSOR_9,Farm D,11.37,22.4,87.0,2025-07-06 04:49:45,Normal,3.66,Reduce Irrigation
81,SENSOR_18,Farm B,52.47,25.8,77.2,2025-07-05 22:30:45,Wet,3.28,Irrigate
82,SENSOR_8,Farm D,39.28,34.7,35.4,2025-07-07 00:18:45,Dry,3.47,Reduce Irrigation
83,SENSOR_11,Farm B,23.2,26.4,55.1,2025-07-07 02:31:45,Normal,3.71,Irrigate
84,SENSOR_2,Farm C,8.5,23.6,82.7,2025-07-04 01:34:45,Wet,3.6,Irrigate
85,SENSOR_8,Farm D,22.1,28.8,86.7,2025-07-01 22:09:45,Normal,4.19,None
86,SENSOR_2,Farm D,22.89,22.1,58.0,2025-07-06 04:58:45,Wet,3.16,Irrigate
87,SENSOR_11,Farm A,45.13,19.3,66.8,2025-07-06 10:08:45,Dry,3.83,Reduce Irrigation
88,SENSOR_13,Farm D,40.07,20.2,40.0,2025-07-04 20:34:45,Dry,3.49,Irrigate
89,SENSOR_9,Farm C,53.8,20.2,89.5,2025-07-01 09:53:45,Normal,3.51,Reduce Irrigation
90,SENSOR_3,Farm D,30.97,20.6,43.9,2025-07-05 23:38:45,Wet,3.86,Irrigate
91,SENSOR_7,Farm B,11.58,20.4,86.6,2025-07-03 02:33:45,Critical Low,3.83,Reduce Irrigation
92,SENSOR_19,Farm D,44.23,28.9,69.0,2025-07-02 08:48:45,Dry,4.19,Reduce Irrigation
93,SENSOR_11,Farm B,46.84,21.1,66.5,2025-07-03 07:22:45,Critical Low,3.15,Reduce Irrigation
94,SENSOR_7,Farm A,35.87,23.9,60.8,2025-07-01 09:10:45,Critical Low,3.12,Reduce Irrigation
95,SENSOR_16,Farm D,47.4,33.2,43.8,2025-07-02 18:14:45,Critical High,3.87,Reduce Irrigation
96,SENSOR_13,Farm A,32.16,26.1,40.6,2025-06-30 20:18:45,Normal,3.69,Irrigate
97,SENSOR_15,Farm A,33.75,29.3,43.2,2025-07-05 18:29:45,Normal,3.33,Reduce Irrigation
98,SENSOR_5,Farm D,28.51,20.9,41.2,2025-07-02 19:23:45,Normal,3.1,Irrigate
99,SENSOR_9,Farm B,6.4,21.3,76.8,2025-07-06 09:38:45,Wet,3.1,None
100,SENSOR_5,Farm D,10.93,18.7,51.0,2025-07-01 23:03:45,Dry,4.07,None
101,SENSOR_8,Farm B,6.73,20.9,33.5,2025-07-02 21:14:45,Dry,3.23,Irrigate
102,SENSOR_18,Farm A,40.0,22.7,88.1,2025-07-04 08:17:45,Critical High,3.39,Reduce Irrigation
103,SENSOR_18,Farm C,22.29,21.0,83.0,2025-07-07 03:44:45,Critical High,3.27,Irrigate
104,SENSOR_9,Farm D,32.97,19.5,85.7,2025-07-03 07:30:45,Critical High,3.43,None
105,SENSOR_19,Farm C,54.92,20.1,89.7,2025-07-05 01:21:45,Critical Low,3.08,Irrigate
106,SENSOR_14,Farm B,18.71,25.8,40.4,2025-07-02 11:36:45,Normal,3.62,Irrigate
107,SENSOR_19,Farm D,27.57,21.5,53.8,2025-07-02 11:15:45,Wet,3.08,Reduce Irrigation
108,SENSOR_13,Farm C,46.56,24.2,75.5,2025-07-04 20:12:45,Dry,3.96,None
109,SENSOR_12,Farm C,17.58,26.6,71.8,2025-07-03 09:38:45,Wet,3.28,Reduce Irrigation
110,SENSOR_8,Farm D,9.23,29.7,39.2,2025-07-06 09:33:45,Normal,3.65,Reduce Irrigation
111,SENSOR_5,Farm C,20.94,18.7,78.9,2025-07-03 08:22:45,Normal,4.06,Irrigate
112,SENSOR_17,Farm D,13.87,31.6,43.5,2025-07-01 08:00:45,Dry,3.78,Irrigate
113,SENSOR_16,Farm C,56.13,28.7,43.4,2025-07-03 10:44:45,Critical Low,3.64,Irrigate
114,SENSOR_3,Farm A,49.45,19.4,62.2,2025-07-06 20:08:45,Critical High,3.39,Irrigate
115,SENSOR_2,Farm D,39.84,32.9,65.6,2025-07-02 23:57:45,Critical Low,3.4,Reduce Irrigation
116,SENSOR_4,Farm A,52.93,33.7,64.8,2025-07-04 09:20:45,Normal,3.8,Reduce Irrigation
117,SENSOR_5,Farm A,49.2,19.0,35.5,2025-07-05 08:51:45,Normal,4.19,Irrigate
118,SENSOR_6,Farm C,15.26,22.7,82.6,2025-07-06 03:19:45,Critical Low,3.79,Irrigate
119,SENSOR_14,Farm B,54.09,31.7,45.9,2025-07-02 08:30:45,Critical High,3.67,None
120,SENSOR_20,Farm A,34.66,30.7,37.8,2025-07-06 11:39:45,Critical High,3.88,Reduce Irrigation
121,SENSOR_3,Farm A,49.41,21.1,83.3,2025-07-05 02:45:45,Normal,3.56,Reduce Irrigation
122,SENSOR_13,Farm A,54.29,21.6,87.3,2025-06-30 17:37:45,Critical High,3.07,Reduce Irrigation
123,SENSOR_13,Farm B,22.49,24.3,81.7,2025-07-07 06:51:45,Critical High,3.67,Irrigate
124,SENSOR_20,Farm B,11.05,26.2,78.6,2025-07-06 22:52:45,Dry,4.15,Irrigate
125,SENSOR_15,Farm A,17.54,28.5,69.3,2025-07-03 17:36:45,Dry,3.21,Irrigate
126,SENSOR_17,Farm B,28.49,24.3,63.1,2025-07-04 18:10:45,Wet,3.83,None
127,SENSOR_9,Farm B,49.99,25.9,35.2,2025-07-06 02:17:45,Critical Low,3.24,Irrigate
128,SENSOR_18,Farm B,52.34,30.7,54.5,2025-07-01 02:30:45,Normal,3.64,None
129,SENSOR_1,Farm D,5.38,18.6,52.4,2025-07-05 04:38:45,Critical High,3.12,Irrigate
130,SENSOR_4,Farm A,33.09,22.3,45.6,2025-07-06 17:56:45,Wet,3.54,Reduce Irrigation
131,SENSOR_18,Farm B,27.96,30.1,73.4,2025-07-01 05:20:45,Dry,3.91,None
132,SENSOR_9,Farm D,17.22,33.2,59.8,2025-07-05 04:06:45,Critical High,3.42,Irrigate
133,SENSOR_11,Farm C,11.59,26.7,34.9,2025-06-30 20:33:45,Critical Low,3.8,Irrigate
134,SENSOR_4,Farm C,23.57,27.0,43.2,2025-07-05 01:42:45,Dry,3.95,Reduce Irrigation
135,SENSOR_10,Farm B,56.86,19.8,71.0,2025-07-04 21:03:45,Normal,4.11,Irrigate
136,SENSOR_14,Farm A,22.78,25.6,34.6,2025-07-03 18:57:45,Critical High,3.28,Reduce Irrigation
137,SENSOR_6,Farm B,33.53,27.1,81.1,2025-07-05 20:23:45,Wet,3.48,Irrigate
138,SENSOR_15,Farm C,43.67,22.1,59.7,2025-06-30 17:56:45,Normal,3.18,None
139,SENSOR_1,Farm A,25.0,22.6,58.8,2025-07-07 11:54:45,Critical High,4.19,None
140,SENSOR_9,Farm A,58.45,24.4,65.5,2025-07-04 08:58:45,Critical High,4.11,Reduce Irrigation
141,SENSOR_17,Farm C,57.93,18.3,79.5,2025-07-05 21:10:45,Critical High,3.65,Irrigate
142,SENSOR_6,Farm D,18.85,23.5,50.9,2025-07-06 01:11:45,Critical High,4.01,Reduce Irrigation
143,SENSOR_17,Farm D,32.35,21.6,70.7,2025-07-01 09:10:45,Critical High,3.63,Reduce Irrigation
144,SENSOR_4,Farm B,21.55,23.6,63.9,2025-07-04 16:14:45,Normal,3.75,Irrigate
145,SENSOR_10,Farm A,20.67,20.0,46.0,2025-07-05 13:02:45,Critical Low,3.11,None
146,SENSOR_17,Farm B,7.03,33.1,82.7,2025-07-06 06:39:45,Critical Low,3.91,None
147,SENSOR_20,Farm A,38.53,28.1,77.8,2025-07-07 05:38:45,Normal,3.15,Reduce Irrigation
148,SENSOR_7,Farm C,32.65,29.5,69.5,2025-07-06 00:41:45,Critical Low,3.99,Reduce Irrigation
149,SENSOR_5,Farm A,7.83,31.4,81.0,2025-07-07 08:37:45,Wet,3.94,Reduce Irrigation
150,SENSOR_12,Farm A,20.33,26.5,82.0,2025-07-03 10:51:45,Wet,3.85,None
151,SENSOR_6,Farm C,54.95,19.5,72.5,2025-07-04 19:42:45,Normal,3.04,None
152,SENSOR_18,Farm D,18.18,27.1,80.2,2025-06-30 19:53:45,Wet,3.36,None
153,SENSOR_17,Farm C,12.97,28.0,71.8,2025-07-03 20:16:45,Normal,3.32,Reduce Irrigation
154,SENSOR_1,Farm A,31.92,30.7,70.8,2025-07-07 08:22:45,Wet,3.43,Reduce Irrigation
155,SENSOR_20,Farm C,59.21,25.3,67.1,2025-07-05 13:06:45,Dry,3.11,None
156,SENSOR_11,Farm A,18.31,20.2,75.2,2025-07-04 12:13:45,Normal,4.12,Reduce Irrigation
157,SENSOR_16,Farm D,41.97,22.8,39.5,2025-07-06 22:22:45,Critical High,3.66,None
158,SENSOR_1,Farm D,46.89,24.2,82.9,2025-07-06 02:04:45,Wet,3.37,None
159,SENSOR_4,Farm A,18.07,29.0,82.3,2025-07-02 17:43:45,Dry,3.48,None
160,SENSOR_12,Farm D,45.05,27.7,31.8,2025-07-01 13:01:45,Normal,3.54,Irrigate
161,SENSOR_10,Farm C,25.23,24.1,79.5,2025-07-06 05:38:45,Wet,3.72,Irrigate
162,SENSOR_8,Farm D,39.78,34.8,37.7,2025-07-06 19:19:45,Critical High,3.62,Reduce Irrigation
163,SENSOR_2,Farm B,39.84,28.3,50.1,2025-07-02 02:38:45,Wet,4.1,Irrigate
164,SENSOR_8,Farm D,34.47,22.0,74.6,2025-07-02 10:16:45,Dry,3.6,None
165,SENSOR_19,Farm B,9.97,19.7,39.6,2025-07-03 09:49:45,Critical Low,4.19,Reduce Irrigation
166,SENSOR_3,Farm C,50.94,20.6,79.1,2025-07-01 16:32:45,Critical Low,4.02,None
167,SENSOR_3,Farm D,22.64,22.2,79.9,2025-06-30 18:34:45,Dry,3.25,None
168,SENSOR_16,Farm D,15.26,20.7,60.4,2025-07-06 06:54:45,Dry,4.12,Reduce Irrigation
169,SENSOR_3,Farm D,7.24,21.2,30.4,2025-07-02 09:15:45,Normal,3.14,None
170,SENSOR_18,Farm C,37.5,22.8,47.2,2025-07-01 19:06:45,Critical Low,3.98,Irrigate
171,SENSOR_5,Farm C,42.27,20.9,67.0,2025-07-05 00:11:45,Normal,3.46,Reduce Irrigation
172,SENSOR_5,Farm B,5.91,33.2,88.9,2025-07-07 00:50:45,Wet,4.05,Irrigate
173,SENSOR_16,Farm A,33.17,19.4,67.9,2025-07-01 14:17:45,Dry,4.04,Irrigate
174,SENSOR_18,Farm C,17.46,26.9,45.6,2025-07-04 02:19:45,Normal,3.97,Reduce Irrigation
175,SENSOR_6,Farm D,40.48,25.0,68.0,2025-07-02 07:36:45,Dry,3.95,None
176,SENSOR_9,Farm B,14.59,34.7,62.4,2025-07-07 04:10:45,Normal,3.37,Irrigate
177,SENSOR_17,Farm D,43.0,19.9,76.8,2025-07-06 20:04:45,Wet,3.1,Irrigate
178,SENSOR_20,Farm D,26.27,24.8,36.4,2025-07-02 01:53:45,Wet,3.48,Irrigate
179,SENSOR_14,Farm C,56.52,34.5,75.7,2025-07-02 23:00:45,Critical High,3.21,Reduce Irrigation
180,SENSOR_7,Farm A,12.56,32.7,62.5,2025-07-02 16:16:45,Critical Low,3.83,None
181,SENSOR_18,Farm D,23.76,31.9,87.8,2025-07-06 07:12:45,Critical High,3.42,None
182,SENSOR_7,Farm C,11.24,22.4,50.5,2025-07-01 22:48:45,Critical Low,4.17,Reduce Irrigation
183,SENSOR_10,Farm B,55.86,20.9,68.0,2025-07-02 11:33:45,Wet,3.77,Reduce Irrigation
184,SENSOR_13,Farm D,53.25,29.4,85.9,2025-07-06 16:36:45,Normal,3.99,None
185,SENSOR_12,Farm B,19.19,33.8,36.2,2025-07-06 14:37:45,Dry,3.16,Reduce Irrigation
186,SENSOR_15,Farm C,41.3,27.5,86.2,2025-07-03 20:43:45,Wet,4.03,Reduce Irrigation
187,SENSOR_17,Farm C,49.95,27.7,71.3,2025-06-30 14:34:45,Wet,4.11,Reduce Irrigation
188,SENSOR_15,Farm C,35.54,22.8,34.1,2025-07-05 20:10:45,Normal,3.58,None
189,SENSOR_4,Farm C,34.13,31.1,48.1,2025-07-06 18:44:45,Wet,3.73,None
190,SENSOR_8,Farm C,18.3,21.2,72.5,2025-07-06 02:13:45,Wet,3.92,Irrigate
191,SENSOR_8,Farm A,10.12,23.5,34.0,2025-07-04 09:35:45,Normal,3.21,None
192,SENSOR_3,Farm B,54.35,25.2,64.9,2025-06-30 20:50:45,Wet,3.6,None
193,SENSOR_11,Farm A,54.52,26.6,50.8,2025-07-01 06:56:45,Critical Low,3.48,Irrigate
194,SENSOR_1,Farm B,39.82,22.1,67.3,2025-07-03 19:53:45,Critical Low,3.18,Irrigate
195,SENSOR_19,Farm D,23.65,20.0,32.7,2025-07-03 04:40:45,Critical Low,3.44,None
196,SENSOR_18,Farm D,24.21,28.4,82.3,2025-06-30 17:33:45,Critical Low,3.08,Reduce Irrigation
197,SENSOR_8,Farm B,44.93,22.9,88.4,2025-07-01 11:48:45,Wet,3.03,Irrigate
198,SENSOR_19,Farm D,54.34,27.9,88.1,2025-07-04 04:09:45,Dry,3.16,None
199,SENSOR_8,Farm D,53.79,20.6,75.0,2025-07-02 08:47:45,Critical Low,4.16,None
200,SENSOR_1,Farm D,47.89,26.2,37.8,2025-07-01 18:38:45,Critical Low,3.66,Irrigate
201,SENSOR_3,Farm A,40.31,27.1,75.5,2025-06-30 15:21:45,Wet,4.16,Reduce Irrigation
202,SENSOR_2,Farm A,9.63,18.9,31.5,2025-07-02 15:12:45,Critical High,3.52,Reduce Irrigation
203,SENSOR_8,Farm C,13.89,23.7,31.3,2025-07-06 09:36:45,Wet,3.37,None
204,SENSOR_3,Farm B,54.42,20.3,49.4,2025-07-06 05:26:45,Normal,3.61,Irrigate
205,SENSOR_2,Farm D,38.35,19.1,59.3,2025-07-01 06:07:45,Critical Low,3.53,Irrigate
206,SENSOR_11,Farm B,5.51,34.8,76.2,2025-07-05 01:58:45,Normal,3.13,Irrigate
207,SENSOR_3,Farm C,10.58,23.5,71.0,2025-07-02 15:14:45,Critical Low,3.77,Reduce Irrigation
208,SENSOR_17,Farm C,41.49,31.8,56.8,2025-07-02 09:22:45,Critical High,3.26,Reduce Irrigation
209,SENSOR_8,Farm D,5.28,22.3,46.4,2025-07-04 22:17:45,Dry,3.74,Reduce Irrigation
210,SENSOR_9,Farm C,13.84,29.6,89.8,2025-07-02 19:41:45,Critical High,3.78,Irrigate
211,SENSOR_16,Farm D,35.18,30.9,55.6,2025-07-03 16:07:45,Wet,3.18,None
212,SENSOR_7,Farm C,43.05,28.1,57.1,2025-07-02 08:50:45,Wet,3.07,Reduce Irrigation
213,SENSOR_18,Farm C,40.86,26.0,39.8,2025-07-02 23:48:45,Normal,3.94,Irrigate
214,SENSOR_5,Farm D,17.33,25.0,77.7,2025-07-02 19:05:45,Normal,3.55,Irrigate
215,SENSOR_19,Farm C,44.17,23.9,71.6,2025-07-06 10:43:45,Wet,3.07,None
216,SENSOR_19,Farm C,18.05,33.8,43.2,2025-07-03 23:20:45,Wet,4.19,None
217,SENSOR_16,Farm C,22.9,32.1,34.9,2025-07-02 16:08:45,Wet,3.07,Irrigate
218,SENSOR_8,Farm B,46.06,34.4,70.8,2025-07-03 23:20:45,Critical Low,3.83,None
219,SENSOR_16,Farm A,40.73,20.1,69.3,2025-07-04 15:04:45,Critical High,4.18,Reduce Irrigation
220,SENSOR_14,Farm B,51.71,30.4,46.4,2025-07-03 06:28:45,Critical Low,3.29,Irrigate
221,SENSOR_7,Farm C,41.17,34.0,87.1,2025-07-05 19:00:45,Dry,3.17,Reduce Irrigation
222,SENSOR_4,Farm A,36.26,21.1,39.1,2025-07-02 03:10:45,Critical Low,3.15,Irrigate
223,SENSOR_4,Farm B,10.15,19.1,55.9,2025-07-06 18:21:45,Wet,3.36,Reduce Irrigation
224,SENSOR_14,Farm B,25.22,30.6,86.6,2025-07-06 11:46:45,Critical Low,3.12,None
225,SENSOR_12,Farm B,19.59,27.8,55.2,2025-07-06 13:22:45,Normal,3.83,None
226,SENSOR_14,Farm D,18.42,32.3,68.3,2025-07-06 11:13:45,Wet,3.07,Reduce Irrigation
227,SENSOR_14,Farm C,58.52,20.4,53.9,2025-07-02 14:45:45,Critical High,3.61,Irrigate
228,SENSOR_15,Farm C,26.62,31.5,46.5,2025-07-06 10:18:45,Critical Low,4.2,Irrigate
229,SENSOR_2,Farm A,54.06,21.4,89.0,2025-07-03 06:55:45,Wet,3.98,Reduce Irrigation
230,SENSOR_4,Farm B,39.71,20.8,54.6,2025-07-06 01:09:45,Normal,3.74,Reduce Irrigation
231,SENSOR_2,Farm C,48.71,20.8,83.6,2025-07-01 04:45:45,Normal,3.37,None
232,SENSOR_13,Farm B,32.65,31.8,43.8,2025-07-06 20:18:45,Critical Low,3.75,None
233,SENSOR_11,Farm C,36.73,29.3,42.8,2025-06-30 20:32:45,Wet,3.63,Reduce Irrigation
234,SENSOR_4,Farm B,32.09,26.9,31.9,2025-07-01 03:19:45,Critical High,3.51,Reduce Irrigation
235,SENSOR_8,Farm C,15.74,24.1,69.1,2025-07-01 03:18:45,Dry,3.16,Irrigate
236,SENSOR_7,Farm A,44.73,32.9,52.1,2025-07-03 18:40:45,Normal,4.06,Irrigate
237,SENSOR_7,Farm B,20.44,24.7,81.9,2025-07-06 03:18:45,Dry,3.54,Reduce Irrigation
238,SENSOR_18,Farm C,6.34,31.9,58.4,2025-07-02 20:30:45,Critical High,3.23,Irrigate
239,SENSOR_15,Farm A,40.5,25.5,88.1,2025-07-03 12:07:45,Critical Low,3.44,None
240,SENSOR_5,Farm A,14.74,24.4,41.1,2025-07-02 17:11:45,Normal,3.5,Irrigate
241,SENSOR_14,Farm C,56.73,25.9,82.1,2025-07-06 22:38:45,Dry,3.99,Reduce Irrigation
242,SENSOR_6,Farm B,57.47,23.1,76.6,2025-07-04 06:08:45,Normal,3.88,None
243,SENSOR_9,Farm D,55.32,30.7,76.3,2025-06-30 16:43:45,Dry,3.92,None
244,SENSOR_15,Farm A,25.36,26.5,80.7,2025-07-03 23:21:45,Wet,3.01,None
245,SENSOR_8,Farm A,5.85,21.9,75.7,2025-07-03 12:39:45,Wet,3.5,Irrigate
246,SENSOR_3,Farm C,56.06,33.3,67.6,2025-07-06 08:23:45,Critical Low,3.58,Irrigate
247,SENSOR_15,Farm D,28.55,24.5,37.9,2025-06-30 22:52:45,Critical High,3.02,None
248,SENSOR_18,Farm D,58.17,27.2,32.0,2025-07-01 18:07:45,Normal,3.31,None
249,SENSOR_4,Farm D,58.0,33.4,85.3,2025-07-05 02:35:45,Critical High,3.91,Irrigate
250,SENSOR_2,Farm C,51.92,28.6,67.0,2025-07-05 18:25:45,Dry,3.16,Irrigate
251,SENSOR_18,Farm B,21.19,20.0,77.8,2025-07-02 01:00:45,Critical Low,3.64,None
252,SENSOR_1,Farm A,26.18,34.0,58.9,2025-07-04 23:26:45,Wet,3.26,Irrigate
